"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"212730_at",8.24532664661354,-0.554870529019777,0.110514342131595,-5.0208010862433,5.14564247958919e-07,8.55739884770162e-05
"212771_at",7.95794592837439,-0.52011144550244,0.109993457750322,-4.72856709971841,2.26109902335399e-06,0.00032172908630496
"212816_s_at",5.28231505998747,-0.476804562244561,0.133791249418819,-3.56379482451782,0.000365531711538142,0.0229777781157326
"213043_s_at",7.86817277093201,0.395074144083502,0.108216764534777,3.65076654972936,0.000261458809133072,0.017571385380238
"213059_at",6.65161769425209,0.510069457750726,0.119010277144924,4.28592782058302,1.81978070832152e-05,0.00190757544781341
"213060_s_at",4.83827894914301,-0.905844670787019,0.154334862957967,-5.86934574227553,4.37518206934063e-09,1.16515828433102e-06
"213107_at",4.29728045635569,0.812915201936285,0.151418992728381,5.36864753416048,7.93292821946109e-08,1.66312996192468e-05
"213109_at",2.96245763839172,0.698049672668031,0.176423656001153,3.95666708473306,7.60027345752261e-05,0.00624077454280825
"213110_s_at",7.84527794622948,0.419642439673242,0.116386886217063,3.60558180833709,0.000311454352436696,0.0203239434551986
"213172_at",3.32291860768232,0.589650544093559,0.169249774991732,3.48390740325866,0.00049415041743126,0.0292000667955558
"213256_at",4.18477819514101,-0.536729323245602,0.158007649452357,-3.39685657691807,0.000681646836071666,0.0375229446884478
"213260_at",6.33546687016125,-0.673175309540369,0.124841638866111,-5.39223383844173,6.95871287703645e-08,1.49874704554926e-05
"213338_at",8.08782473557597,-0.418940583974614,0.107662042997003,-3.89125612251549,9.97265942257606e-05,0.00794681286934895
"213385_at",2.7486066841896,0.713043653426446,0.190758988321047,3.73792951882506,0.000185541940354758,0.0134925277438052
"213441_x_at",7.44544306715509,0.539936291199749,0.114742136687099,4.70564961390036,2.53058834633741e-06,0.000348743388400499
"213456_at",3.28351429758951,-0.780005150797445,0.17860460863283,-4.36721737903726,1.25839469884807e-05,0.00140108386046321
"213492_at",4.10638126317404,-0.640668275262877,0.188595245667343,-3.3970542205127,0.000681154689621746,0.0375229446884478
"213547_at",4.94485521034415,-0.585995682989694,0.144113924300632,-4.06619752972145,4.77864366931728e-05,0.00430996479593756
"213557_at",5.47475288936669,0.679117879734774,0.1338753424739,5.07276296878325,3.92080759643048e-07,6.68981431193555e-05
"213664_at",6.01551928934306,0.646768476469285,0.133002042398882,4.86284619998227,1.15709754173262e-06,0.0001781478223041
"213680_at",5.26620283688565,-0.820924256051277,0.183127243060609,-4.48280792268346,7.36672322439681e-06,0.000882528964031537
"213707_s_at",3.57076366463833,-0.558043574936486,0.166239422943269,-3.3568666508601,0.000788311226093796,0.0419871603584607
"213765_at",7.18767732458978,0.422165041804624,0.114900424369765,3.67418174580489,0.000238612849872655,0.0163559771563145
"213885_at",4.87725501241842,0.509492504459544,0.142751312132707,3.56909156804037,0.000358221214307797,0.0226264918921915
"213906_at",7.92406626003339,-0.656938105078477,0.113474191922952,-5.78931732357727,7.06730715083643e-09,1.84470757644415e-06
"213912_at",2.69789529266157,1.23608178854079,0.200314344330677,6.17071030370286,6.79838837290877e-10,2.14361343463861e-07
"213913_s_at",4.25236888340256,0.79140168509568,0.150908111635225,5.24426206464406,1.56909046480576e-07,2.87647123627229e-05
"214079_at",4.70306882398301,1.44486737583585,0.215377253216153,6.70854212438942,1.96578426100686e-11,7.90606335340043e-09
"214133_at",2.70317868224259,0.690034716062481,0.182297390768227,3.78521444083526,0.000153576092156852,0.0114641062429359
"214164_x_at",6.83763331464858,0.577735488650742,0.132452568324629,4.36182926430515,1.28979506598193e-05,0.00143199951353836
"214203_s_at",5.11980887962709,0.679402637583479,0.133275303920729,5.09773842262318,3.43735344176977e-07,5.94209862078568e-05
"214240_at",4.29116192318132,-0.726439318434597,0.146183858802762,-4.96935382869282,6.71763890148308e-07,0.000110320424859606
"214243_s_at",5.57595521707385,1.25316213616987,0.14035733665648,8.92836930382158,4.32334278199784e-19,4.73333978915731e-16
"214279_s_at",5.00778423441105,-0.652048493658723,0.142549614039979,-4.57418631435826,4.78074277181792e-06,0.000613772624131699
"214295_at",8.74132789728124,0.415981658072126,0.104534300368934,3.97937955870941,6.90953533771644e-05,0.00579271355296005
"214297_at",2.72601899167718,-0.638558518044396,0.193464313504942,-3.30065274817769,0.000964601897760239,0.0486637407293502
"214404_x_at",6.83725159616805,0.788398735289353,0.121278385209262,6.50073575706829,7.99281205240408e-11,2.97196881352315e-08
"214428_x_at",8.80314953575899,0.359928763859268,0.10812145841607,3.32892997497498,0.000871803206121872,0.0453129338032341
"214440_at",8.40345440856479,0.451275776449518,0.115766929297025,3.89814067963807,9.69341008075198e-05,0.0077672257833446
"214451_at",6.05506784856337,1.60747085138447,0.17257876646551,9.31441847862392,1.22622400699381e-20,1.858861269679e-17
"214746_s_at",4.92797483788219,0.561535566975945,0.140579039356031,3.99444731980133,6.48453368202949e-05,0.00553206516327945
"214769_at",3.28327636556577,-0.747984724585196,0.18085553825618,-4.13581321201059,3.53699815425876e-05,0.00338367100126104
"214774_x_at",6.13431882833509,1.25686546248963,0.131324060209032,9.5707173574214,1.06166447155606e-21,2.09222217409553e-18
"214797_s_at",5.27684652972189,-0.443337551948761,0.134685836799426,-3.29164196090624,0.000996043315269181,0.0498198619644918
"214838_at",4.70826811989034,-0.464405531495895,0.140925150369502,-3.29540561268331,0.000982797125127561,0.0494081197573695
